path,filename,width,height,resolution,codec,duration_sec,size_bytes,size_human,estimated_compressed,estimated_savings,savings_percent
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/Glenn4K.MP4,Glenn4K.MP4,3840,2160,3840x2160,h264,8615.607,97475591039,90.78 GB,12184448879,85291142160,87.50000000089766
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/171208GlennConroy.fcpbundle/12-12-17/Original Media/Glenn4K.mp4,Glenn4K.mp4,3840,2160,3840x2160,h264,8615.607,97475591039,90.78 GB,12184448879,85291142160,87.50000000089766
/Volumes/Promise Pegasus/PeirceGang/171215PeirceGangGlassyEssenceAndEvolutionaryLove/MikeJoeLeft.MP4,MikeJoeLeft.MP4,3840,2160,3840x2160,h264,7711.2035,82591074862,76.92 GB,10323884357,72267190505,87.50000000090809
/Volumes/Promise Pegasus/PeirceGang/171215PeirceGangGlassyEssenceAndEvolutionaryLove/171215PeirceGangGlassyEssenceAndEvolutionaryLove.fcpbundle/12-15-17/Original Media/MikeJoeLeft.mp4,MikeJoeLeft.mp4,3840,2160,3840x2160,h264,7711.2035,82591074862,76.92 GB,10323884357,72267190505,87.50000000090809
/Volumes/Promise Pegasus/PeirceGang/171201PeirceGangTrichotomyNecessityLawOfMindAndEvolution/Steve4K.MP4,Steve4K.MP4,3840,2160,3840x2160,h264,6822.3155,75578165402,70.39 GB,9447270675,66130894727,87.50000000033079
/Volumes/Promise Pegasus/PeirceGang/171201PeirceGangTrichotomyNecessityLawOfMindAndEvolution/171201PeirceGang.fcpbundle/12-1-17/Original Media/Steve4K.mp4,Steve4K.mp4,3840,2160,3840x2160,h264,6822.3155,75578165402,70.39 GB,9447270675,66130894727,87.50000000033079
/Volumes/Promise Pegasus/190205JeffreyAndPop/Jeff1.MP4,Jeff1.MP4,3840,2160,3840x2160,h264,11013.002,74362800580,69.26 GB,9295350072,65067450508,87.50000000067239
/Volumes/Promise Pegasus/MyMovieWithVinny/171018SantaBarbaraKjell/FireplaceCam.MP4,FireplaceCam.MP4,3840,2160,3840x2160,h264,10699.689,74260011835,69.16 GB,9282501479,64977510356,87.50000000050498
/Volumes/Promise Pegasus/MyMovieWithVinny/190227DavidSohmMemorial/190127DavidsMemorial.fcpbundle/171018SantaBarbaraKjell/Original Media/FireplaceCam.mp4,FireplaceCam.mp4,3840,2160,3840x2160,h264,10699.689,74260011835,69.16 GB,9282501479,64977510356,87.50000000050498
/Volumes/Promise Pegasus/MyMovieWithVinny/171209StephenGuerinSimTable/171209StephenGuerinMikeMacey/StephenMike.MP4,StephenMike.MP4,3840,2160,3840x2160,h264,6479.9735,73294497426,68.26 GB,9161812178,64132685248,87.50000000034109
/Volumes/Promise Pegasus/190205JeffreyAndPop/Pop1.MP4,Pop1.MP4,3840,2160,3840x2160,h264,11013.002,73046301034,68.03 GB,9130787629,63915513405,87.50000000034225
/Volumes/Promise Pegasus/MyMovieWithVinny/171018SantaBarbaraKjell/CounterCam.MP4,CounterCam.MP4,3840,2160,3840x2160,h264,10395.385,71888749842,66.95 GB,8986093730,62902656112,87.50000000034775
/Volumes/Promise Pegasus/MyMovieWithVinny/190227DavidSohmMemorial/190127DavidsMemorial.fcpbundle/171018SantaBarbaraKjell/Original Media/CounterCam.mp4,CounterCam.mp4,3840,2160,3840x2160,h264,10395.385,71888749842,66.95 GB,8986093730,62902656112,87.50000000034775
/Volumes/Promise Pegasus/MyMovieWithVinny/171026LamarWithArthurStewart/StageLeft.MP4,StageLeft.MP4,3840,2160,3840x2160,h264,9699.69,70626124047,65.78 GB,8828265505,61797858542,87.50000000123892
/Volumes/Promise Pegasus/201227JoeFergusonLifeStoryByJeff/Pop.MP4,Pop.MP4,3840,2160,3840x2160,h264,10056.5465,69209270447,64.46 GB,8651158805,60558111642,87.50000000126428
/Volumes/Promise Pegasus/201227JoeFergusonLifeStoryByJeff/Jeff.MP4,Jeff.MP4,3840,2160,3840x2160,h264,10005.4955,67393202850,62.76 GB,8424150356,58969052494,87.50000000037096
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/Lew.MP4,Lew.MP4,3840,2160,3840x2160,h264,9263.254,65292761193,60.81 GB,8161595149,57131166044,87.50000000019145
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/180117LewWatts.fcpbundle/1-17-18/Original Media/Lew.mp4,Lew.mp4,3840,2160,3840x2160,h264,9263.254,65292761193,60.81 GB,8161595149,57131166044,87.50000000019145
/Volumes/Promise Pegasus/Walkabout2018/180312EditingAndEditingVillageWalk/Camera1.MP4,Camera1.MP4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 4.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 5.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 6.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 7.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/SeekingMuhammedAkbar.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera1.mp4,Camera1.mp4,3840,2160,3840x2160,h264,9168.6595,64867126312,60.41 GB,8108390789,56758735523,87.5
/Volumes/Promise Pegasus/PeirceGang/180709ComprehensiveAndUniversalPhilosophyPart1SVLPaper/JohnCamtasia.mov,JohnCamtasia.mov,3840,2160,3840x2160,h264,7456.6,64158897584,59.75 GB,8019862198,56139035386,87.5
/Volumes/Promise Pegasus/Walkabout2018/180312EditingAndEditingVillageWalk/Camera2.MP4,Camera2.MP4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 4.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 5.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 6.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 7.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/SeekingMuhammedAkbar.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/180312EditingAndEditingVillageWalk/Original Media/Camera2.mp4,Camera2.mp4,3840,2160,3840x2160,h264,9436.9275,63516387623,59.15 GB,7939548452,55576839171,87.5000000013776
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/Fergi.MP4,Fergi.MP4,3840,2160,3840x2160,h264,9235.7265,62022116838,57.76 GB,7752764604,54269352234,87.50000000120924
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/180117LewWatts.fcpbundle/1-17-18/Original Media/Fergi.mp4,Fergi.mp4,3840,2160,3840x2160,h264,9235.7265,62022116838,57.76 GB,7752764604,54269352234,87.50000000120924
/Volumes/Promise Pegasus/Renesan2017/170911RenesanLecture1/StageRight.MP4,StageRight.MP4,3840,2160,3840x2160,h264,8968.96,61533508498,57.31 GB,7691688562,53841819936,87.50000000040629
/Volumes/Promise Pegasus/Renesan2017/Renesan 2017.fcpbundle/9-11-17 Lecture 1/Original Media/StageRight.mp4,StageRight.mp4,3840,2160,3840x2160,h264,8968.96,61533508498,57.31 GB,7691688562,53841819936,87.50000000040629
/Volumes/Promise Pegasus/MyMovieWithVinny/180105VinnyInMyOffice/VinnyCam.MP4,VinnyCam.MP4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/MyMovieWithVinny/180105VinnyInMyOffice/180105VinnyInMyOffice.fcpbundle/1-5-18/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 4.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 5.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 6.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 7.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/SeekingMuhammedAkbar.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/Editing/Original Media/VinnyCam.mp4,VinnyCam.mp4,3840,2160,3840x2160,h264,9204.6955,61160836725,56.96 GB,7645104590,53515732135,87.50000000102189
/Volumes/Promise Pegasus/Renesan2017/170918RenesanLecture2/Rear.MP4,Rear.MP4,3840,2160,3840x2160,h264,8872.3635,60586567977,56.43 GB,7573320997,53013246980,87.50000000020631
/Volumes/Promise Pegasus/Renesan2017/Renesan 2017.fcpbundle/9-18-17 Lecture 2/Original Media/Rear.mp4,Rear.mp4,3840,2160,3840x2160,h264,8872.3635,60586567977,56.43 GB,7573320997,53013246980,87.50000000020631
/Volumes/Promise Pegasus/Renesan2017/170911RenesanLecture1/StageLeft.MP4,StageLeft.MP4,3840,2160,3840x2160,h264,8856.3475,60251658672,56.11 GB,7531457334,52720201338,87.5
/Volumes/Promise Pegasus/Renesan2017/Renesan 2017.fcpbundle/9-11-17 Lecture 1/Original Media/StageLeft.mp4,StageLeft.mp4,3840,2160,3840x2160,h264,8856.3475,60251658672,56.11 GB,7531457334,52720201338,87.5
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/Fergi4K.MP4,Fergi4K.MP4,3840,2160,3840x2160,h264,8635.627,59613123077,55.52 GB,7451640384,52161482693,87.50000000104843
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/171208GlennConroy.fcpbundle/12-12-17/Original Media/Fergi4K.mp4,Fergi4K.mp4,3840,2160,3840x2160,h264,8635.627,59613123077,55.52 GB,7451640384,52161482693,87.50000000104843
/Volumes/Promise Pegasus/Renesan2017/170918RenesanLecture2/Right.MP4,Right.MP4,3840,2160,3840x2160,h264,8634.1255,59435065280,55.35 GB,7429383160,52005682120,87.5
/Volumes/Promise Pegasus/Renesan2017/Renesan 2017.fcpbundle/9-18-17 Lecture 2/Original Media/Right.mp4,Right.mp4,3840,2160,3840x2160,h264,8634.1255,59435065280,55.35 GB,7429383160,52005682120,87.5
/Volumes/Promise Pegasus/MyMovieWithVinny/180529VinnyWithNewMicrophone/VinnyWithNewMic.MP4,VinnyWithNewMic.MP4,3840,2160,3840x2160,h264,8447.9395,59259975493,55.19 GB,7407496936,51852478557,87.50000000105467
/Volumes/Promise Pegasus/Walkabout2018/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Camera1-2.MP4,Camera1-2.MP4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 4.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 5.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 6.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 7.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/SeekingMuhammedAkbar.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera1-2.mp4,Camera1-2.mp4,3840,2160,3840x2160,h264,8435.9275,58634498333,54.61 GB,7329312291,51305186042,87.50000000106593
/Volumes/Promise Pegasus/Pema/180326MindrollingMonasteryForCeremoniesWithPema/Camera2-Sony4K/C0006.MP4,C0006.MP4,3840,2160,3840x2160,h264,8140.6325,56297789879,52.43 GB,7037223734,49260566145,87.50000000155424
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/180326ZMindrollingCeremonies/Original Media/C0006.mp4,C0006.mp4,3840,2160,3840x2160,h264,8140.6325,56297789879,52.43 GB,7037223734,49260566145,87.50000000155424
/Volumes/Promise Pegasus/MyMovieWithVinny/171026LamarWithArthurStewart/StageRight.MP4,StageRight.MP4,3840,2160,3840x2160,h264,7546.539,54543709424,50.80 GB,6817963678,47725745746,87.5
/Volumes/Promise Pegasus/Walkabout2018/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Camera2-1.MP4,Camera2-1.MP4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 4.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 5.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 6.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 7.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/SeekingMuhammedAkbar.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/Walkabout2018/Walkabout2018Final.fcpbundle/180313DinnerInThetalayarSuiteWithoutStaffButWithSomeDiscourse/Original Media/Camera2-1.mp4,Camera2-1.mp4,3840,2160,3840x2160,h264,7742.735,54219186868,50.50 GB,6777398358,47441788510,87.50000000092218
/Volumes/Promise Pegasus/PeirceGang/PeirceGangDailies/171215PeirceGangGlassyEssenceAndEvolutionaryLove.mov,171215PeirceGangGlassyEssenceAndEvolutionaryLove.mov,3840,2160,3840x2160,h264,6861.6548,53582014068,49.90 GB,6697751758,46884262310,87.50000000093316
/Volumes/Promise Pegasus/MyMovieWithVinny/180425CapturingDeepThoughtI/Camera1.MP4,Camera1.MP4,3840,2160,3840x2160,h264,7696.1885,52945368291,49.31 GB,6618171036,46327197255,87.50000000070828
/Volumes/Promise Pegasus/Walkabout2018/180325WhatDoesAGuyNeedToDoToGetADrinkAroundHere/C0005.MP4,C0005.MP4,3840,2160,3840x2160,h264,7258.7515,52863772063,49.23 GB,6607971507,46255800556,87.5000000016552
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final 2.fcpbundle/180325WhatDoesAGuyNeedToDoToGetADrinkAroundHere/Original Media/C0005.mp4,C0005.mp4,3840,2160,3840x2160,h264,7258.7515,52863772063,49.23 GB,6607971507,46255800556,87.5000000016552
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 2.fcpbundle/180325WhatDoesAGuyNeedToDoToGetADrinkAroundHere/Original Media/C0005.mp4,C0005.mp4,3840,2160,3840x2160,h264,7258.7515,52863772063,49.23 GB,6607971507,46255800556,87.5000000016552
/Volumes/Promise Pegasus/Walkabout2018/FCPLibraryBackups/Walkabout2018Final copy 3.fcpbundle/180325WhatDoesAGuyNeedToDoToGetADrinkAroundHere/Original Media/C0005.mp4,C0005.mp4,3840,2160,3840x2160,h264,7258.7515,52863772063,49.23 GB,6607971507,46255800556,87.5000000016552
